,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
568,Chennai Super Kings,2012/05/12,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,S Anirudha,DJ Bravo,JA Morkel,R Ashwin,BW Hilfenhaus,SB Jakati
569,Delhi Daredevils,2012/05/12,DA Warner,V Sehwag,NV Ojha,DPMD Jayawardene,Y Venugopal Rao,Y Nagar,IK Pathan,RE van der Merwe,M Morkel,VR Aaron,UT Yadav
570,Mumbai Indians,2021/10/02,RG Sharma,Q de Kock,SA Yadav,SS Tiwary,KA Pollard,HH Pandya,KH Pandya,NM Coulter-Nile,J Yadav,JJ Bumrah,TA Boult
571,Delhi Capitals,2021/10/02,PP Shaw,S Dhawan,SPD Smith,RR Pant,SS Iyer,AR Patel,SO Hetmyer,R Ashwin,K Rabada,Avesh Khan,A Nortje
572,Gujarat Titans,2022/04/02,MS Wade,Shubman Gill,V Shankar,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,VR Aaron,LH Ferguson,Mohammed Shami
573,Delhi Capitals,2022/04/02,PP Shaw,TL Seifert,Mandeep Singh,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,KK Ahmed,Mustafizur Rahman
574,Chennai Super Kings,2011/05/04,MEK Hussey,M Vijay,SK Raina,JA Morkel,MS Dhoni,S Badrinath,S Anirudha,R Ashwin,DE Bollinger,SB Jakati,S Randiv
575,Rajasthan Royals,2011/05/04,SR Watson,R Dravid,AL Menaria,J Botha,LRPL Taylor,AM Rahane,STR Binny,DH Yagnik,SK Warne,ND Doshi,SK Trivedi
576,Royal Challengers Bangalore,2014/05/09,CH Gayle,PA Patel,V Kohli,S Rana,AB de Villiers,Yuvraj Singh,JA Morkel,MA Starc,HV Patel,VR Aaron,YS Chahal
577,Kings XI Punjab,2014/05/09,V Sehwag,Mandeep Singh,GJ Maxwell,DA Miller,GJ Bailey,WP Saha,MG Johnson,AR Patel,Shivam Sharma,L Balaji,Sandeep Sharma
578,Rajasthan Royals,2018/04/18,AM Rahane,DJM Short,SV Samson,RA Tripathi,BA Stokes,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
579,Kolkata Knight Riders,2018/04/18,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
580,Chennai Super Kings,2011/04/16,MEK Hussey,M Vijay,SK Raina,MS Dhoni,JA Morkel,S Badrinath,S Anirudha,R Ashwin,SB Jakati,TG Southee,S Randiv
581,Royal Challengers Bangalore,2011/04/16,MA Agarwal,TM Dilshan,AUK Pathan,V Kohli,AB de Villiers,SS Tiwary,CA Pujara,JJ van der Wath,DL Vettori,R Ninan,Z Khan
582,Sunrisers Hyderabad,2014/05/14,AJ Finch,S Dhawan,NV Ojha,DA Warner,MC Henriques,IK Pathan,KV Sharma,KL Rahul,DW Steyn,A Mishra,B Kumar
583,Kings XI Punjab,2014/05/14,V Sehwag,M Vohra,WP Saha,GJ Maxwell,DA Miller,GJ Bailey,AR Patel,MG Johnson,Shivam Sharma,R Dhawan,Sandeep Sharma
584,Kolkata Knight Riders,2017/05/13,SP Narine,CA Lynn,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,C de Grandhomme,Kuldeep Yadav,UT Yadav,TA Boult,AS Rajpoot
585,Mumbai Indians,2017/05/13,SS Tiwary,LMP Simmons,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,KV Sharma,MG Johnson,R Vinay Kumar,TG Southee
586,Kings XI Punjab,2009/04/21,RS Bopara,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,T Kohli,PP Chawla,VS Malik,VRV Singh,YA Abdulla
587,Kolkata Knight Riders,2009/04/21,BB McCullum,CH Gayle,BJ Hodge,SC Ganguly,Yashpal Singh,A Chopra,MC Henriques,LR Shukla,I Sharma,M Kartik,AB Dinda
588,Punjab Kings,2022/05/13,JM Bairstow,S Dhawan,PBB Rajapaksa,LS Livingstone,MA Agarwal,JM Sharma,Harpreet Brar,R Dhawan,RD Chahar,K Rabada,Arshdeep Singh
589,Royal Challengers Bangalore,2022/05/13,V Kohli,F du Plessis,RM Patidar,MK Lomror,GJ Maxwell,KD Karthik,Shahbaz Ahmed,HV Patel,PWH de Silva,Mohammed Siraj,JR Hazlewood
590,Sunrisers Hyderabad,2017/05/06,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,NV Ojha,Bipul Sharma,Rashid Khan,B Kumar,S Kaul,A Nehra
591,Rising Pune Supergiant,2017/05/06,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MS Dhoni,DT Christian,MK Tiwary,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
592,Delhi Daredevils,2014/05/19,M Vijay,KP Pietersen,KD Karthik,JP Duminy,KM Jadhav,MA Agarwal,MK Tiwary,WD Parnell,Mohammed Shami,Imran Tahir,JD Unadkat
593,Kings XI Punjab,2014/05/19,V Sehwag,M Vohra,GJ Maxwell,DA Miller,WP Saha,AR Patel,GJ Bailey,R Dhawan,BE Hendricks,Shivam Sharma,Sandeep Sharma
594,Chennai Super Kings,2012/04/21,S Badrinath,F du Plessis,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,WP Saha,R Ashwin,KMDN Kulasekara,SB Jakati,DE Bollinger
595,Rajasthan Royals,2012/04/21,R Dravid,AM Rahane,OA Shah,AL Menaria,BJ Hodge,SP Goswami,STR Binny,KK Cooper,GB Hogg,A Singh,SK Trivedi
596,Mumbai Indians,2008/04/20,L Ronchi,ST Jayasuriya,DJ Thornely,RV Uthappa,PR Shah,AM Nayar,SM Pollock,Harbhajan Singh,MA Khote,A Nehra,DS Kulkarni
597,Royal Challengers Bangalore,2008/04/20,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,B Akhil,P Kumar,Z Khan,SB Joshi,R Vinay Kumar
