,Team1,Team2,date,venue,toss_winner,toss_decision,match_winner,year
847,Royal Challengers Bangalore,Sunrisers Hyderabad,2018-05-17,M.Chinnaswamy Stadium,Sunrisers Hyderabad,field,Royal Challengers Bangalore,2018
711,Delhi Daredevils,Chennai Super Kings,2018-05-18,Arun Jaitley Stadium,Chennai Super Kings,field,Delhi Daredevils,2018
879,Rajasthan Royals,Royal Challengers Bangalore,2018-05-19,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,2018
352,Sunrisers Hyderabad,Kolkata Knight Riders,2018-05-19,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,2018
518,Kings XI Punjab,Chennai Super Kings,2018-05-20,Maharashtra Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
826,Delhi Daredevils,Mumbai Indians,2018-05-20,Arun Jaitley Stadium,Delhi Daredevils,bat,Delhi Daredevils,2018
480,Sunrisers Hyderabad,Chennai Super Kings,2018-05-22,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
676,Kolkata Knight Riders,Rajasthan Royals,2018-05-23,Eden Gardens,Rajasthan Royals,field,Kolkata Knight Riders,2018
511,Sunrisers Hyderabad,Kolkata Knight Riders,2018-05-25,Eden Gardens,Kolkata Knight Riders,field,Sunrisers Hyderabad,2018
186,Sunrisers Hyderabad,Chennai Super Kings,2018-05-27,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,2018
206,Royal Challengers Bangalore,Chennai Super Kings,2019-03-23,MA Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings,2019
392,Sunrisers Hyderabad,Kolkata Knight Riders,2019-03-24,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,2019
156,Delhi Capitals,Mumbai Indians,2019-03-24,Wankhede Stadium,Mumbai Indians,field,Delhi Capitals,2019
612,Kings XI Punjab,Rajasthan Royals,2019-03-25,Sawai Mansingh Stadium,Rajasthan Royals,field,Kings XI Punjab,2019
56,Delhi Capitals,Chennai Super Kings,2019-03-26,Arun Jaitley Stadium,Delhi Capitals,bat,Chennai Super Kings,2019
497,Kolkata Knight Riders,Kings XI Punjab,2019-03-27,Eden Gardens,Kings XI Punjab,field,Kolkata Knight Riders,2019
657,Mumbai Indians,Royal Challengers Bangalore,2019-03-28,M.Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,2019
788,Rajasthan Royals,Sunrisers Hyderabad,2019-03-29,Rajiv Gandhi International Stadium,Rajasthan Royals,bat,Sunrisers Hyderabad,2019
693,Mumbai Indians,Kings XI Punjab,2019-03-30,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,field,Kings XI Punjab,2019
410,Chennai Super Kings,Rajasthan Royals,2019-03-31,MA Chidambaram Stadium,Rajasthan Royals,field,Chennai Super Kings,2019
18,Sunrisers Hyderabad,Royal Challengers Bangalore,2019-03-31,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,Sunrisers Hyderabad,2019
42,Kings XI Punjab,Delhi Capitals,2019-04-01,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,field,Kings XI Punjab,2019
300,Royal Challengers Bangalore,Rajasthan Royals,2019-04-02,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,2019
76,Mumbai Indians,Chennai Super Kings,2019-04-03,Wankhede Stadium,Chennai Super Kings,field,Mumbai Indians,2019
869,Delhi Capitals,Sunrisers Hyderabad,2019-04-04,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2019
756,Royal Challengers Bangalore,Kolkata Knight Riders,2019-04-05,M.Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,2019
184,Mumbai Indians,Sunrisers Hyderabad,2019-04-06,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Mumbai Indians,2019
660,Chennai Super Kings,Kings XI Punjab,2019-04-06,MA Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,2019
823,Royal Challengers Bangalore,Delhi Capitals,2019-04-07,M.Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,2019
504,Rajasthan Royals,Kolkata Knight Riders,2019-04-07,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,2019
739,Sunrisers Hyderabad,Kings XI Punjab,2019-04-08,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,field,Kings XI Punjab,2019
255,Kolkata Knight Riders,Chennai Super Kings,2019-04-09,MA Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings,2019
336,Kings XI Punjab,Mumbai Indians,2019-04-10,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,2019
40,Rajasthan Royals,Chennai Super Kings,2019-04-11,Sawai Mansingh Stadium,Chennai Super Kings,field,Chennai Super Kings,2019
139,Kolkata Knight Riders,Delhi Capitals,2019-04-12,Eden Gardens,Delhi Capitals,field,Delhi Capitals,2019
865,Kings XI Punjab,Royal Challengers Bangalore,2019-04-13,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,2019
912,Mumbai Indians,Rajasthan Royals,2019-04-13,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,2019
690,Delhi Capitals,Sunrisers Hyderabad,2019-04-14,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Delhi Capitals,2019
342,Kolkata Knight Riders,Chennai Super Kings,2019-04-14,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,2019
157,Royal Challengers Bangalore,Mumbai Indians,2019-04-15,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,2019
426,Kings XI Punjab,Rajasthan Royals,2019-04-16,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,Kings XI Punjab,2019
339,Chennai Super Kings,Sunrisers Hyderabad,2019-04-17,Rajiv Gandhi International Stadium,Chennai Super Kings,bat,Sunrisers Hyderabad,2019
